"Date","Offer Name","Referral Domain","Country Name","Page Visits","Get It Now","Contact Me","Test Drive","Free Trial"
"2020-04-06","big-data-management-10-2-2-byol","www.google.com","Japan","1","0","0","0","0"
"2020-04-06","enterprise_data_catalog_10_2_2","www.informatica.com","Czechia","1","0","0","0","0"
"2020-04-06","iics-winter","azure.microsoft.com","Nigeria","1","0","0","0","0"
"2020-04-06","informaica-dei-1040","www.google.com","Italy","1","0","0","0","0"
"2020-04-06","informatica-data-quality","Referral domain not present","China","1","0","0","0","0"
"2020-04-06","informatica-data-quality","www.informatica.com","Portugal","1","0","0","0","0"
"2020-04-06","informaticaedc1040","azuremarketplace.microsoft.com","Germany","1","0","0","0","0"
"2020-04-06","informaticaedc1040","azuremarketplace.microsoft.com","India","1","0","0","0","0"
"2020-04-06","informaticaedc1040","azuremarketplace.microsoft.com","United States","2","0","0","0","0"
"2020-04-06","informaticaedc1040","Referral domain not present","Ireland","1","0","0","0","0"
"2020-04-06","informaticaedc1040","Referral domain not present","Norway","1","0","0","0","0"
"2020-04-06","informaticaedp1040","azuremarketplace.microsoft.com","India","1","0","0","0","0"
"2020-04-06","informaticaedp1040","Referral domain not present","India","1","0","0","0","0"
"2020-04-06","informaticaedp1040","Referral domain not present","United States","2","0","0","0","0"
"2020-04-06","informatica-idq-1040","azuremarketplace.microsoft.com","Canada","3","0","0","0","0"
"2020-04-06","informatica-idq-1040","azuremarketplace.microsoft.com","Luxembourg","2","0","0","0","0"
"2020-04-06","informatica-idq-1040","azuremarketplace.microsoft.com","United Kingdom","2","0","0","0","0"
"2020-04-06","powercenter","Referral domain not present","Brazil","1","0","0","0","0"
"2020-04-06","powercenter","Referral domain not present","United States","1","0","0","0","0"
"2020-04-06","powercenter","www.informatica.com","Germany","1","0","0","0","0"
"2020-04-06","powercenter","www.informatica.com","Japan","1","0","0","0","0"
"2020-04-06","powercenter-1040","www.bing.com","Czechia","1","0","0","0","0"
"2020-04-07","big-data-management-10-2-2-byol","www.informatica.com","India","1","0","0","0","0"
"2020-04-07","big-data-management-byol","azuremarketplace.microsoft.com","United States","1","0","0","0","0"
"2020-04-07","enterprise_data_catalog_10_2_2","www.google.de","Germany","1","0","0","0","0"
"2020-04-07","iics-winter","azuremarketplace.microsoft.com","Australia","1","0","0","0","0"
"2020-04-07","iics-winter","azuremarketplace.microsoft.com","United Kingdom","1","0","0","0","0"
"2020-04-07","iics-winter","azuremarketplace.microsoft.com","United States","1","0","0","0","0"
"2020-04-07","informatica-data-quality","azuremarketplace.microsoft.com","United Kingdom","1","0","0","0","0"
"2020-04-07","informaticaedc1040","azuremarketplace.microsoft.com","India","1","0","0","0","0"
"2020-04-07","informaticaedc1040","azuremarketplace.microsoft.com","United Kingdom","1","0","0","0","0"
"2020-04-07","informaticaedc1040","azuremarketplace.microsoft.com","United States","5","1","0","0","0"
"2020-04-07","informaticaedc1040","Referral domain not present","United States","9","0","0","0","0"
"2020-04-07","informaticaedc1040","www.google.com","United States","3","0","0","0","0"
"2020-04-07","informaticaedp1040","azuremarketplace.microsoft.com","India","1","0","0","0","0"
"2020-04-07","informaticaedp1040","azuremarketplace.microsoft.com","United Kingdom","1","0","0","0","0"
