"Customer AWS Account Number","Product Title","Product Id","Product Code","Subscription Start Date","Offer ID","Offer Visibility","Solution Title","Solution ID","Payer Reference ID","Reseller Account Id","Reseller Account Name","Customer Reference ID"
"0002-1969-5343","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2018-09-05","aiuhmjnu9qqdkztzj54s7nh15","Public","","","eF4gJ46ftHu","","","eF4gJ46ftHu"
"0019-9894-5603","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2018-03-09","aiuhmjnu9qqdkztzj54s7nh15","Public","","","PSyHG2kQHGe","","","NWjYTHE9eRm"
"0043-9744-1224","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2017-10-12","aiuhmjnu9qqdkztzj54s7nh15","Public","","","f7RZ8wG5tsT","","","ejGCEkEMwtt"
"0061-0221-4893","Informatica Data Engineering Integration - Rhel","f180f4ab-37b7-432e-a915-7ec9eedf1792","eapp2z03aqatritnmgwgwypw2","2020-06-18","offer-jwq2frbmgo5zw","Public","Informatica Data Engineering Integration","094affe0-5fcb-4b32-8022-de8edcb1c464","gnR4LB5HV21","","","hgwfHCjHT4c"
"0061-0221-4893","Informatica Data Engineering Integration - Bastion","a7e3b4dd-4c4c-4942-8049-e17435079a0f","9xtjluufbuozsudvpqec7e8lr","2020-06-18","offer-jwq2frbmgo5zw","Public","Informatica Data Engineering Integration","094affe0-5fcb-4b32-8022-de8edcb1c464","gnR4LB5HV21","","","hgwfHCjHT4c"
"0074-3646-9663","Informatica Remote Access Jump Server","52a175fa-cae4-42ef-88df-3d113b71d4e7","4w3y90hx6tdbfy7xvv2vim5t3","2020-02-19","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","QEAuvzzhMfc","","","6iGKpLEodVu"
"0074-3646-9663","Informatica Enterprise Data Catalog","29fbb919-4f8a-4af7-9e46-ba061ade5d5d","2hh82o246wij4w0fcz9f5h9wd","2020-02-19","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","QEAuvzzhMfc","","","6iGKpLEodVu"
"0074-3646-9663","Informatica Hadoop-Cluster Image for EDC","85c0aa97-5554-4147-9eb0-94303afb4ac6","7x2ci0we5b2vikhvg2iwjy0na","2020-02-19","offer-jsjjs4luc47dy","Public","Informatica Enterprise Data Catalog","fe64a6a9-7cda-4635-92ed-18d8955d2871","QEAuvzzhMfc","","","6iGKpLEodVu"
"0074-9912-1874","Informatica PowerCenter For Red Hat Linux (BYOL)","b1c14762-8f3f-41df-ae2c-91adee508cf9","aiuhmjnu9qqdkztzj54s7nh15","2018-05-11","aiuhmjnu9qqdkztzj54s7nh15","Public","","","BqHJAN1NtpB","","","9275PsL8zw7"
"0135-7328-2049","Informatica Data Management as a Service for Amazon Web Services","1f0b9557-84e4-4bcb-acc2-aa5be6e98f83","1u5zklci5o5f4oglizbnsyt1f","2020-06-04","1u5zklci5o5f4oglizbnsyt1f","Public","","","d2RA88AhPQu","","","d2RA88AhPQu"
"0153-4975-6298","Informatica Data Quality For Windows (BYOL)","56aa4bec-8379-4f76-9e08-f99c6b7d57e9","54pi6dirauiqk20ougnfis25l","2018-02-16","54pi6dirauiqk20ougnfis25l","Public","","","7QEVK4vpESN","","","Nw5aonRWAHy"
"0153-4975-6298","Informatica Data Quality For RHEL (BYOL)","b788a592-68c3-49f1-a73f-cebb8908f2e6","av5vh3shzny6l5b8xrh9a9y3q","2018-06-12","av5vh3shzny6l5b8xrh9a9y3q","Public","","","7QEVK4vpESN","","","Nw5aonRWAHy"
"0155-8707-7910","Informatica Big Data Management","7e3f3999-bc98-4a05-ae72-5e579f0d8646","7h2gu5zca6q4lrf0gb9ibm53a","2019-10-27","offer-dvsouy6jk5t72","Public","Informatica Big Data Management","4459c86f-974a-49d6-a7c2-e39a609b8752","VyMHjWxp3Q1","","","VyMHjWxp3Q1"
"0155-8707-7910","Informatica Remote Access Jump Server","5e3e9ffe-28b6-44ad-bd53-16264f48e170","5kv1mgs988nznne08lyv2y99s","2019-10-27","offer-dvsouy6jk5t72","Public","Informatica Big Data Management","4459c86f-974a-49d6-a7c2-e39a609b8752","VyMHjWxp3Q1","","","VyMHjWxp3Q1"
